region_id,region_name,account_id,account_name,date,timezone,window_start,window_end,sp_check_in,violation,night_shift,diff
5d3b47869a1cb400132c65cc,Austin,5fa307ba6068880012c14e39,Bartlett Tree Experts - 2403 West Howard Lane,4/15/2021,US/Central,18:00:00,5:00:00,22:33:45,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,602c04de854a8d0013e2fed1,Kushagram (6) - Costa Mesa (S Coast Dr.) ,4/16/2021,US/Pacific,23:59:00,7:00:00,3:29:57,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ed00b4e93cc3200126b0a33,Contractors Electrical Distributors - San Francisco,4/19/2021,US/Pacific,20:00:00,3:00:00,0:21:47,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ccb788972aa8a001fffe19a,Red Roots Landscape - San Martin,4/22/2021,US/Pacific,19:00:00,5:00:00,22:53:43,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5efa422de1aaa30012da9518,New Sky Tree Service - San Jose,5/5/2021,US/Pacific,18:00:00,23:00:00,20:33:59,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5ddecd01d040bd0012215a6a,Bayshore Plumbers - Redwood City,5/6/2021,US/Pacific,19:00:00,5:00:00,1:27:18,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5f07690361c2d100126e49b6,NON - UPS - 8201 Perimeter Road,5/7/2021,US/Pacific,23:00:00,1:00:00,22:08:56,TRUE,TRUE,0:51:04
5d0ba24c005add001234fe76,Seattle,5d161cf39c274e0012e6063d,NON - Monarch - Woodinville,5/10/2021,US/Pacific,19:00:00,5:00:00,0:25:13,FALSE,TRUE,NULL
2.22222E+23,DFW,5bc75f336a994b0007dc471a,Luke's A+ Moving-746 West Hurst Boulevard,5/20/2021,US/Central,23:59:00,6:00:00,21:28:25,TRUE,TRUE,2:30:35
5d8ba0f96df3c50012309f8d,DC,5e62905691d76a0012c0c03f,Shorb Landscaping - 8422 Ballew Avenue,6/10/2021,US/Eastern,19:00:00,4:00:00,23:53:02,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5ef51e4939397400124b9e55,DNA1 - OTRX,6/14/2021,US/Central,22:00:00,8:00:00,23:37:31,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5f3be6980e7b9900135251ae,Bartlett Tree Experts - Campbell,4/6/2021,US/Pacific,19:00:00,4:00:00,0:17:38,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5bc799719fbe350007ee9b80,Hardin Honda - Anaheim TANKER,4/6/2021,US/Pacific,9:00:00,19:00:00,11:43:32,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5ff885db87cf2f0012a9a681,1-800-Got-Junk? - Richmond,4/11/2021,US/Pacific,20:00:00,3:00:00,19:34:10,TRUE,TRUE,0:25:50
5d0ba24c005add001234fe76,Seattle,5d8d20322849280012348fba,Advanced Government Services - 8644 Pacific Avenue,4/14/2021,US/Pacific,16:00:00,5:00:00,21:41:59,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,604fa96c8443650012f19a25,Fleetwash - 18927 16th Avenue South,4/21/2021,US/Pacific,1:00:00,6:00:00,3:17:19,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5ac2d617ddd44f0600eb30db,Gothic Landscape - San Jose,4/22/2021,US/Pacific,16:00:00,3:00:00,23:51:40,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5f57c8ec10c1d600124bf4b8,DNA1 - AXPR,4/24/2021,US/Central,22:00:00,8:00:00,0:44:24,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5a4fe176f6378806008f9242,Technical Safety Services - Berkeley,4/29/2021,US/Pacific,19:00:00,5:00:00,20:43:44,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,5/6/2021,US/Central,21:00:00,5:00:00,2:57:49,FALSE,TRUE,NULL
2.22222E+23,DFW,5cd30aae711f66001fa78364,Monarch - 2433 Merrell Road,5/13/2021,US/Central,17:00:00,3:00:00,18:31:16,FALSE,TRUE,NULL
5d8ba0f96df3c50012309f8d,DC,5eea908940119b0012ce1095,PCM Services Inc. - 7125 Virginia Manor Ct,5/18/2021,US/Eastern,19:00:00,4:00:00,18:48:40,TRUE,TRUE,0:11:20
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,6/23/2021,US/Central,21:00:00,5:00:00,0:14:26,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5f482709c5705e0013ba27ac,Bay Area Tree Specialists - San Jose,6/29/2021,US/Pacific,20:00:00,5:00:00,4:02:43,FALSE,TRUE,NULL
2.22222E+23,DFW,5d8957efe89be60012a2708a,Integrity Porters and Services - 750 International Parkway,7/9/2021,US/Central,1:30:00,5:00:00,1:06:31,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5ed00b4e93cc3200126b0a33,Contractors Electrical Distributors - San Francisco,7/16/2021,US/Pacific,20:00:00,3:00:00,0:01:53,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5eb040d7ce7eee0012962563,SMFD Station 27 - 1801 De Anza Boulevard,7/16/2021,US/Pacific,7:30:00,10:30:00,10:34:12,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5b5b5052b0407307009862e9,Valley Services - San Jose,7/26/2021,US/Pacific,18:00:00,3:00:00,19:26:18,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5c7f4135f6abf8001e7b3c34,Project WeHope - East Palo Alto,7/26/2021,US/Pacific,23:00:00,5:00:00,21:43:02,TRUE,TRUE,1:16:58
1.11111E+23,Bay Area,5ecec8ddc2e3990012834a95,DSF4 - San Leandro - ONCI,4/4/2021,US/Pacific,21:00:00,5:00:00,0:13:43,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5ef0f1a55b6f10001287fac5,DTN8 - CBLL,4/6/2021,US/Central,22:00:00,7:00:00,1:21:14,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ff885db87cf2f0012a9a681,1-800-Got-Junk? - Richmond,4/8/2021,US/Pacific,20:00:00,3:00:00,22:28:11,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5ef51e4939397400124b9e55,DNA1 - OTRX,4/8/2021,US/Central,22:00:00,8:00:00,0:48:29,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5b94717c13394a0700139230,LandCare - San Jose,4/20/2021,US/Pacific,17:00:00,4:30:00,2:17:22,FALSE,TRUE,NULL
5b7762d7c2ced20700425b04,Sacramento,5bb2ff7a03a6c3000774ea3c,"Traffic Management, Inc. - Sacramento",6/3/2021,US/Pacific,19:00:00,5:00:00,22:37:33,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5f57c8ec10c1d600124bf4b8,DNA1 - AXPR,6/3/2021,US/Central,22:00:00,8:00:00,2:14:42,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5c7f4135f6abf8001e7b3c34,Project WeHope - East Palo Alto,6/18/2021,US/Pacific,23:00:00,5:00:00,3:08:32,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,604fa96c8443650012f19a25,Fleetwash - 18927 16th Avenue South,6/23/2021,US/Pacific,1:00:00,6:00:00,2:01:49,FALSE,FALSE,NULL
5d65b13b240e77001261832c,Nashville,5ef0f1a55b6f10001287fac5,DTN8 - CBLL,6/24/2021,US/Central,22:00:00,7:00:00,22:06:54,FALSE,TRUE,NULL
1.11111E+23,Bay Area,60622f6c6ada4c0012fa69fe,Medallion Landscape - Fremont,6/29/2021,US/Pacific,17:00:00,4:00:00,22:24:32,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ecec8ddc2e3990012834a95,DSF4 - San Leandro - ONCI,7/1/2021,US/Pacific,21:00:00,5:00:00,1:44:58,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5ee79ee57e9e7e00123d86b7,Peak Landscape - 2209 West Valley Highway,7/7/2021,US/Pacific,21:00:00,5:00:00,23:09:51,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5fb70b7c0146500010f2eb9e,Ballard Natural Gas,7/8/2021,US/Pacific,19:00:00,5:00:00,19:35:00,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5f07690361c2d100126e49b6,NON - UPS - 8201 Perimeter Road,7/9/2021,US/Pacific,23:00:00,1:00:00,0:12:13,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ed00b4e93cc3200126b0a33,Contractors Electrical Distributors - San Francisco,7/19/2021,US/Pacific,20:00:00,3:00:00,0:54:54,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5d8d20322849280012348fba,Advanced Government Services - 8644 Pacific Avenue,7/21/2021,US/Pacific,16:00:00,5:00:00,20:27:27,FALSE,TRUE,NULL
2.22222E+23,DFW,5b842bffd3c1f00700c27499,Award Moving Services - 2310 Apollo Circle,4/6/2021,US/Central,23:00:00,4:00:00,1:20:07,FALSE,TRUE,NULL
1.11111E+23,Bay Area,602d3f1ae0032a001214b251,OJ Insulation,4/8/2021,US/Pacific,22:00:00,4:00:00,21:31:29,TRUE,TRUE,0:28:31
1.11111E+23,Bay Area,5c7f4135f6abf8001e7b3c34,Project WeHope - East Palo Alto,4/14/2021,US/Pacific,23:00:00,5:00:00,5:36:55,TRUE,TRUE,0:36:55
5d0ba24c005add001234fe76,Seattle,5ea08b8eeb68ef0012660100,North Coast Electric-Seattle,4/16/2021,US/Pacific,20:00:00,3:00:00,21:09:42,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ddecd01d040bd0012215a6a,Bayshore Plumbers - Redwood City,4/19/2021,US/Pacific,19:00:00,5:00:00,22:23:08,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5f57c8ec10c1d600124bf4b8,DNA1 - AXPR,6/7/2021,US/Central,22:00:00,8:00:00,0:41:33,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5a4fe176f6378806008f9242,Technical Safety Services - Berkeley,6/8/2021,US/Pacific,19:00:00,5:00:00,0:45:49,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5dc082f23c39cf001225862a,Closet Factory - San Carlos,6/8/2021,US/Pacific,18:00:00,5:00:00,1:59:13,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5dfa6a63eae79f0012eafa48,SJ Food - Maywood - Diesel,6/14/2021,US/Pacific,6:30:00,11:00:00,6:39:15,FALSE,FALSE,NULL
5b7762d7c2ced20700425b04,Sacramento,5bb2ff7a03a6c3000774ea3c,"Traffic Management, Inc. - Sacramento",6/21/2021,US/Pacific,19:00:00,5:00:00,2:19:37,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5e41a4afba09780012aeb84e,NON - Service Master - Tacoma,6/24/2021,US/Pacific,21:00:00,6:00:00,22:24:27,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5aff3d2bf542790700049cfd,"Traffic Management, Inc. - Riverside ",6/25/2021,US/Pacific,19:00:00,5:00:00,0:37:46,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,606f50fb5ffc2e00127d86f2,Cintas Corporation - Tustin - TANKER,6/26/2021,US/Pacific,20:30:00,4:00:00,18:35:21,TRUE,TRUE,1:54:39
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,6/28/2021,US/Central,21:00:00,5:00:00,23:38:31,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,6/29/2021,US/Central,21:00:00,5:00:00,0:45:21,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,60cb2ed98222300012f483a7,WeDriveU (Facebook Seattle) - 151 South Horton,7/13/2021,US/Pacific,21:00:00,6:00:00,1:13:49,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5d016f039d20e900120c8f5f,Medallion Landscape - San Carlos,7/20/2021,US/Pacific,19:00:00,5:00:00,23:12:30,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,6049363714cb520012e10e6b,Katana Racing Inc. - 4490 Ayers Avenue,7/21/2021,US/Pacific,21:00:00,6:00:00,1:08:51,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,605231306482a40012834e24,Legacy Landscaping - Washington,4/7/2021,US/Pacific,20:00:00,5:00:00,21:17:35,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5f907a6c667c2c001202c80d,AmeriGas - Bloomington ,4/23/2021,US/Pacific,20:00:00,4:00:00,22:25:40,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,606f50fb5ffc2e00127d86f2,Cintas Corporation - Tustin - TANKER,6/12/2021,US/Pacific,20:30:00,4:00:00,17:58:49,TRUE,TRUE,2:31:11
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,6/13/2021,US/Central,21:00:00,5:00:00,3:59:46,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,6/24/2021,US/Central,21:00:00,5:00:00,2:45:46,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,606f50fb5ffc2e00127d86f2,Cintas Corporation - Tustin - TANKER,6/30/2021,US/Pacific,20:30:00,4:00:00,23:41:29,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5e5d773d690f7c0012f8ad24,Honey Bucket - Richmond,7/2/2021,US/Pacific,19:30:00,4:00:00,1:20:22,FALSE,TRUE,NULL
5d8ba0f96df3c50012309f8d,DC,5eea908940119b0012ce1095,PCM Services Inc. - 7125 Virginia Manor Ct,7/16/2021,US/Eastern,19:00:00,4:00:00,0:45:59,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5eb0329c524547001276cfaf,SMFD Station 23 - 31 27th Avenue,7/22/2021,US/Pacific,7:30:00,10:30:00,9:30:30,FALSE,FALSE,NULL
2.22222E+23,DFW,60c77a06bb71170013a6777f,Ferguson Supply - 2683 West Euless Boulevard,7/23/2021,US/Central,20:00:00,5:00:00,21:18:11,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5d8d20322849280012348fba,Advanced Government Services - 8644 Pacific Avenue,4/26/2021,US/Pacific,16:00:00,5:00:00,22:09:09,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5e5d773d690f7c0012f8ad24,Honey Bucket - Richmond,5/3/2021,US/Pacific,19:30:00,4:00:00,2:22:26,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5d87b762e7778300135f36ec,DNA1,5/4/2021,US/Central,21:00:00,5:00:00,21:02:42,FALSE,TRUE,NULL
2.22222E+23,DFW,5bbfafab48e09a0007f085ed,Boxes 4 U-1401 E Plano Pkwy ,5/8/2021,US/Central,21:00:00,4:00:00,20:19:02,TRUE,TRUE,0:40:58
1.11111E+23,Bay Area,5c7f4135f6abf8001e7b3c34,Project WeHope - East Palo Alto,5/10/2021,US/Pacific,23:00:00,5:00:00,3:47:14,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5b5b5052b0407307009862e9,Valley Services - San Jose,7/19/2021,US/Pacific,18:00:00,3:00:00,19:31:59,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5f07690361c2d100126e49b6,NON - UPS - 8201 Perimeter Road,4/3/2021,US/Pacific,23:00:00,1:00:00,1:48:01,TRUE,TRUE,0:48:01
5afe15d9d8a0fa0700197cd5,Orange County,5d51dab9f3452800124343c1,Earthco Commercial Landscape - Santa Ana,4/12/2021,US/Pacific,17:00:00,1:00:00,19:01:02,FALSE,TRUE,NULL
5d8ba0f96df3c50012309f8d,DC,5eea908940119b0012ce1095,PCM Services Inc. - 7125 Virginia Manor Ct,4/22/2021,US/Eastern,19:00:00,4:00:00,23:52:08,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5b5b5052b0407307009862e9,Valley Services - San Jose,5/5/2021,US/Pacific,18:00:00,3:00:00,19:44:11,FALSE,TRUE,NULL
1.11111E+23,Bay Area,604f9933a50b13001201eada,Lakeside Remedy - Oakland,5/9/2021,US/Pacific,0:00:00,5:00:00,22:05:34,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5b94717c13394a0700139230,LandCare - San Jose,5/13/2021,US/Pacific,17:00:00,4:30:00,21:59:41,FALSE,TRUE,NULL
